Organisation,Jurisdiction,Gazetteer Link,Gazetteer Feature Number
Commonwealth Scientific and Industrial Research Organisation,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Department of Aboriginal Affairs WA,Western Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=WA100146691,WA100146691
Consumer Affairs Victoria,Victoria,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA7,GA7
Department of Communications,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Department of Finance,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Department of Industry,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Department of Social Services,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
"Department for Transport, Energy and Infrastructure (SA)",South Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=SA0062407,SA0062407
Department for Environment and Heritage (SA),South Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=SA0062407,SA0062407
Department of the Attorney General WA,Western Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=WA100146691,WA100146691
Department of Education and Early Childhood Development,Victoria,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA7,GA7
Department of Construction and Infrastructure,Northern Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=NT10000,NT10000
Department of Agriculture Fisheries and Forestry,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Department of Environment and Conservation,Western Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=WA100146691,WA100146691
"Department of Education, Employment and Workplace Relations",Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Department of Education and Training (ACT),Australian Capital Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?fctext=URBN&submit1=ACT000175,ACT000175
"Department of Environment, Climate Change and Water",New South Wales,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA3,GA3
Department of Environment and Resource Management,Queensland,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA4,GA4
Department of Environment and Natural Resources,South Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=SA0062407,SA0062407
Department of Foreign Affairs and Trade,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Department of Health,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Department of Health and Ageing,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Department of Human Services NSW,New South Wales,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA3,GA3
Department of Human Services,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
"Department of Industry, Innovation, Science, Research and Tertiary Education",Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
"Department of Innovation, Industry and Regional Development",Victoria,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA7,GA7
Department of Justice,Victoria,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA7,GA7
Department of Justice and Attorney General,New South Wales,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA3,GA3
Department of Planning and Community Development,Victoria,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA7,GA7
"Department of Lands and Planning, Public Transport Division (NT)",Northern Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=NT10000,NT10000
"Department of Natural Resources, Environment, The Arts and Sport",Northern Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=NT10000,NT10000
"Department of Regional Australia, Local Government, Arts and Sport",Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
"Department of Planning and Infrastructure, Public Transport (NT)",Northern Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=NT10000,NT10000
"Department of Racing, Gaming and Liquor",Western Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=WA100146691,WA100146691
Department of Transport,Victoria,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA7,GA7
Department of Sustainability and Environment,Victoria,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA7,GA7
"Department of Sustainability, Environment, Water, Population and Communities",Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Education and Training Directorate,Australian Capital Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?fctext=URBN&submit1=ACT000175,ACT000175
Economic Development Directorate,Australian Capital Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?fctext=URBN&submit1=ACT000175,ACT000175
Emergency Services Telecommunications Authority,Australian Capital Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?fctext=URBN&submit1=ACT000175,ACT000175
Environment Protection Authority (EPA) Victoria,Victoria,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA7,GA7
Fire & Rescue NSW,New South Wales,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA3,GA3
Geoscience Australia,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Geographical Names Board,New South Wales,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA3,GA3
Glenorchy City Council,Glenorchy,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=TAS37818,TAS37818
Department of Immigration and Border Protection,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Information Victoria,Victoria,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA7,GA7
IP Australia,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Justice and Community Safety Directorate,Australian Capital Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?fctext=URBN&submit1=ACT000175,ACT000175
Launceston City Council,Launceston,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=TAS37825,TAS37825
Logan City Council,Logan,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=QLD19896,QLD19896
LINC Tasmania,Tasmania,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA6,GA6
Metropolitan Fire and Emergency Services Board (VIC),Victoria,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA7,GA7
Mosman Municipal Council,Mosman,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=NSW39502,NSW39502
"Ministerial Council for Education, Early Childhood Development and Youth Affairs",Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Murray-Darling Basin Authority,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
Museum and Art Gallery of the Northern Territory,Northern Territory,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=NT10000,NT10000
National Archives of Australia,Commonwealth of Australia,http://www.ga.gov.au/place-names/PlaceDetails.jsp?submit1=GA1,GA1
